Spécialité pharmaceutique ,Substance active ,Type ATU / RTU,Dates ATU / RTU (si date seule = arrêt),Date AMM,ATU / RTU en cours (1) VS arrêtée (0),Commentaires,Labo
"ATGAM 50 mg/ml, solution injectable",immunoglobuline équine anti-thymocytes humains,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire Pfizer (Tél : 01.58.07.30.00 ; email: Atu.Atgam@pfizer.com),PFIZER
"BOTHROFAV 10 ml, solution pour perfusion",fragments F(ab')2 d'immunoglobulines T antivenin d’origine équine,, ,,, ,AVENTIS PASTEUR S.A.
"BOTULISM ANTITOXIN BEHRING, solution pour perfusion","antitoxines botuliques de type A, B et E",, ,,, ,NOVARTIS VACCINES AND DIAGNOSTICS GMBH & CO. KG
"HAEMATE P 1000 IU, poudre et solvant pour solution injectable",1000 IU de FVIII / 2400 IU de VWF,, ,,, ,CSL BEHRING GMBH
"IMMUSEVEN 600 UI, poudre et solvant pour solution injectable",facteur VII de coagulation humain,, ,,, ,BAXTER SAS
"IVEGAM-CMV, solution injectable",Immunoglobulines humaines anti-CMV,, ,,, ,CAF-DCF
"VARITECT CP 25 UI/ml, solution injectable",immunoglobuline humaine VZV,, ,,, ,BIOTEST PHARMA GMBH
"BIOBAG, sachet",larves de Lucilia sericata,, ,,, ,BIOMONDE GMBH
"DAPSONE 50 mg, comprimé",dapsone,, ,,,"Cette spécialité ne contient pas de fer contrairement à la spécialité disponible en France dans le cadre d'une AMM (DISULONE 50 mg, comprimé).",ACTAVIS LTD
"DIBENZYRAN 10 mg, comprimé",phénoxybenzamide (chlorhydrate),, ,,, ,PROCTER & GAMBLE PHARMACEUTICALS
"NATRIUMTHIOSULFAT 10 %, solution injectable",thiosulfate de sodium,, ,,, ,LABORATOIRE KOHLER CHEMIE
"NATRIUMTHIOSULFAT 25 %, solution injectable",thiosulfate de sodium,, ,,, ,LABORATOIRE KOHLER CHEMIE
"SULFAMYLON 5%, poudre pour solution pour application cutanée",mafénide (acetate),, ,,, ,UDL LABORATORIES INC
"SULFAMYLON 85 mg, crème",mafénide (acetate),, ,,, ,UDL LABORATORIES INC
"ZYFLO 600 mg, comprimé pelliculé",zyleuton,, ,,, ,CRITICAL THERAPEUTICS INC
"ZYFLO CR 600 mg, comprimé à libération prolongée",zileuton,, ,,, ,CRITICAL THERAPEUTICS INC
"HUMULIN REGULAR 500 UI/ml, suspension injectable",insuline,, ,,, ,ELI LILLY INTERNATIONAL  LILLY CORPORATE
"IRENAT 300 mg/ml, solution buvable en gouttes",perchlorate de sodium,, ,,, ,BAYER HEALTH CARE
"LODOSYN 25 mg, comprimé",carbidopa,, ,,, ,ATON PHARMA
"METRELEPTIN 5 mg/ml, poudre pour solution injectable",métréleptin,, ,,, ,"AMYLIN PHARMACEUTICALS, INC"
"NIZORAL 200 mg, comprimé",kétoconazole,, ,,, ,JANSSEN CILAG NV
"PROGLYCEM 50 mg/ml, suspension buvable",diazoxide,, ,,, ,TEVA GLOBAL
"SOM 230  0,9 mg/ml, solution injectable",pasiréotide,,24/07/2012,,,Cette spécialité est désormais disponible selon son AMM obtenue en avril 2012 sous la dénomination SIGNIFOR.,NOVARTIS PHARMA SAS
"SOM 230 0.6 mg/ml, solution injectable",pasiréotide,,24/07/2012,,,Cette spécialité est désormais disponible selon son AMM obtenue en avril 2012 sous la dénomination SIGNIFOR.,NOVARTIS PHARMA SAS
"AMMONUL 10%/10%, poudre et solvant pour solution injectable",sodium (benzoate) et sodium (phénylacétate),, ,,, ,UCYCLYD PHARMA INC
"DODECAVIT 5 mg/ml, solution injectable",hydroxocobalamine (acétate),, ,,, ,SERB
"KREON FUR KINDER, granulés gastro-résistants",pancréatine d'origine porcine,, ,,, ,ABBOTT ARZNEIMITTEL GMBH
"NORMIX 200 mg, comprimé pelliculé",rifaximine,, ,,, ,ALFA WASSERMANN
"PYLERA 140 mg, 125 mg, 125, gélule","subcitrate de bismuth, métronidazole, chlorhydrate de tétracycline",, ,,, ,AXCAN PHARMA INC
"SECRELUX 100 U, poudre et solvant pour solution injectable",secrétine,, ,,, ,SANOCHEMIA DIAGNOSTICS GERMANY GMBH
"URSOFALK 50 mg/ml, suspension buvable",ursodésoxycholique (acide),, ,,, ,DR FALK PHARMA GMBH
"VITAMINE E 100 mg/ml, suspension buvable",alpha-tocophérol (acétate),, ,,, ,ALLIANCE PHARMACEUTICALS
" GS7977 400 mg, comprimé",sofosbuvir,, ,,, ,GILEAD SCIENCES INC.
"ALINIA 100 mg/5 ml, suspension buvable",nitazoxanide,, ,,, ,ROMARK PHARMACEUTICALS
"ALINIA 500 mg, comprimé",nitazoxanide,, ,,, ,ROMARK PHARMACEUTICALS
"ARINATE 100 mg, comprimé",artésunate,, ,,, ,DAFRA PHARMA
"CAPASTAT 1 g, poudre pour solution injectable",capréomycine (sulfate),, ,,, ,VIANEX SA
"CYCLOSERINE 250 mg, gélule",cyclosérine,, ,,, ,KING PHARMACEUTICALS LTD
"DOLUTEGRAVIR  50 mg, comprimé pelliculé",dolutegravir,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoires ViiV Healthcare (tel : 01 39 17 69 05).,VIIV HEALTHCARE SAS
"FURADANTIN OU NITROFURANTOINE 5 mg/ml, solution buvable",nitrofurantoïne,, ,,, ,GOLDSHIELD PHARMACEUTICALS LTD
"HUMATIN 250 mg, gélule",paromomycine (sulfate),, ,,, ,PFIZER SA
"IMPAVIDO 50 mg, gélule",miltéfosine,, ,,, ,PAESEL & LOREI GMBH & CO
"IVOMEC PORCIN 10 mg/ml, solution injectable",ivermectine,, ,,, ,MERIAL
"LAFEPE BENZNIDAZOL 100 mg, comprimé",benznidazole,, ,,, ,LABORATOIRE LAFEPE
"LAMPIT 120 mg, comprimé",nifurtimox,, ,,, ,BAYER HEALTHCARE PHARMA
"MALACEF 60 mg, poudre et solvant pour solution injectable",artésunate,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du CNR Paludisme de l'Hôpital de La Pitié Salpêtrière (tel : 01 42 16 01 12 ou 13).,ACE PHARMACEUTICALS
"MARIBAVIR 100 mg, comprimé",maribavir,, ,,, ,VIROPHARMA LIMITED
"NEGABAN 1 g, poudre pour solution injectable",témocilline,, ,,, ,EUMEDICA S.A.
"NEGABAN 2 g, poudre pour solution injectable",témocilline,, ,,, ,EUMEDICA S.A.
"OSELTAMIVIR 100 mg, poudre pour solution pour perfusion",oseltamivir,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'afssaps et auprès du laboratoire ROCHE (contact laboratoire 24h/24 : Tel : 0800 23 08 50),ROCHE
"PMS-ISONIAZID 10 mg/ml, solution buvable",isoniazide,, ,,, ,PHARMASCIENCE INC.
"PRIMAQUINE 15 mg (base), comprimé",primaquine (diphosphate),, ,,, ,SANOFI-AVENTIS
"PRIMAQUINE 7,5 mg (base), comprimé",primaquine (diphosphate),, ,,, ,BS DURBIN LTD
"SEMPERA 10 mg/ml, solution injectable",itraconazole,, ,,, ,JANSSEN-CILAG
"SULFATO DE ESTREPTOMICINA REIG JOFRE 1 g, poudre et solvant pour solution injectable",streptomycine (sulfate de),, ,,, ,REIG JOFRE LABORATORIO
"TMC 207 100 mg, comprimé", ,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire JANSSEN-CILAG (tel : 0800.25.50.75  ou 01.55.00.40.03),JANSSEN PHARMACEUTICALS N-V
"TRECATOR 250 mg, comprimé",ethionamide,, ,,, ,WYETH PHARMACEUTICALS INC
"VERMOX 500 mg, comprimé",mébendazole,, ,,, ,JANSSEN PHARMACEUTICALS N-V
"VIRAZOLE 100 mg/ml, solution à diluer pour perfusion",ribavirine,, ,,, ,MEDA PHARMA GMBH
"ZANAMIVIR 10 mg/ml, solution à diluer pour perfusion",zanamivir,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'afssaps et auprès du laboratoire GSK (contact laboratoire 24h/24 : 01 39 17 84 44).,GLAXOSMITHKLINE
"ADAGEN 250 U/ml, solution injectable",pégademase bovine,, ,,, ,ORPHAN EUROPE
"DIBENYLINE 10 mg, gélule",phénoxybenzamide (chlorhydrate),, ,,, ,MERCURY PHARMA GROUP
"L-ARGININE HYDROCHLORHID BAXTER 21 %, solution injectable",L-arginine,, ,,, ,BAXTER GMBH
"ORPHACOL 250 mg, gélule",cholique (acide),, ,,, ,LABORATOIRES CTRS
"ORPHACOL 50 mg, gélule",cholique (acide),, ,,, ,LABORATOIRES CTRS
"SUCRAID 8500 UI/ml, solution buvable",sacrosidase,, ,,, ,QOL MEDICAL
"TRIENTINE DICHLORHYDRATE 300 mg, gélule",trientine (dichlorhydrate),, ,,, ,UNIVAR LTD
"ELMISOL 10 mg, comprimé",lévamisole,, ,,, ,ACE PHARMACEUTICALS
"ELMISOL 25 mg, comprimé",lévamisole,, ,,, ,ACE PHARMACEUTICALS
"ELMISOL 5 mg, comprimé",lévamisole,, ,,, ,ACE PHARMACEUTICALS
"ELMISOL 50 mg, comprimé",lévamisole,, ,,, ,ACE PHARMACEUTICALS
"INDO-PAED 25 mg/5 ml, suspension buvable",indométacine,, ,,, ,1 A PHARMA
"UROCIT-K 10 meq (1080 mg), comprimé",potassium (citrate),, ,,, ,MISSION PHARMACAL
"UROCIT-K 5 meq (540 mg), comprimé",potassium (citrate de),, ,,, ,MISSION PHARMACAL
"AGOMELATINE 5 mg, comprimé",agomélatine,, ,,, ,LABORATOIRE SERVIER INDUSTRIE
"ALCOVER 24,5 g/140 ml, solution buvable",sodium (oxybate),, ,,, ,LABORATORIO FARMACEUTICO
"ANTAXONE 50 mg/10 ml, solution buvable",naltrexone (chlorhydrate),, ,,, ,PHARMAZAM S.A.
"ATIVAN 4 mg/ml, solution injectable",lorazepam,, ,,,Ce médicament est soumis à la réglementation des psychotropes.,BAXTER SAS
"BELLAFIT 0,5 mg/ml, solution buvable en gouttes",atropine (sulfate),, ,,, ,G. STREULI AND CIE. SA
"BF 2649 20 mg, comprimé pelliculé sécable",pitolisant,, ,,, ,BIOPROJET PHARMA
"BREVIMYTAL HIKMA 500 mg, poudre pour solution injectable",méthohexital sodique,, ,,, ,HIKMA PHARMA GMBH
"BUCCOLAM 10 mg, solution buccale",midazolam (chlorhydrate),,14/12/2012,,,Cette spécialité est désormais disponible selon son AMM obtenue en septembre 2011.,VIROPHARMA SPRL
"BUCCOLAM 2,5 mg, solution buccale",midazolam (chlorhydrate),,14/12/2012,,,Cette spécialité est désormais disponible selon son AMM obtenue en septembre 2011.,VIROPHARMA SPRL
"BUCCOLAM 5 mg, solution buccale",midazolam (chlorhydrate),,14/12/2012,,,Cette spécialité est désormais disponible selon son AMM obtenue en septembre 2011.,VIROPHARMA SPRL
"BUCCOLAM 5 mg/ml, solution buccale",midazolam hydrochloride,, ,,,Cette spécialité est désormais disponible selon son AMM obtenue en septembre 2011.,VIROPHARMA SPRL
"BUCCOLAM 7,5 mg, solution buccale",midazolam (chlorhydrate),,14/12/2012,,,Cette spécialité est désormais disponible selon son AMM obtenue en septembre 2011.,VIROPHARMA SPRL
"CAPTAGON 50 mg, comprimé",fénétylline (chlorhydrate),, ,,, ,EUMEDICA S.A.
"DEXAMFETAMINE SULPHATE 5 mg, comprimé",dexamfetamine sulphate,, ,,,Ce médicament est soumis à la réglementation des stupéfiants.,AUDEN MCKENZIE (PHARMA DIVISION) LTD
"DEXEDRINE 5 mg, comprimé",dexamphétamine (sulfate),, ,,,Ce médicament est soumis à la réglementation des stupéfiants.,UCB PHARMA
"DIAZEPAM RECTAL TUBE 10 mg, solution rectale",diazepam,, ,,, ,SANDOZ LTD
"DIAZEPAM RECTAL TUBE 5 mg, gel rectal",diazépam,, ,,, ,SANDOZ LTD
"DIBRO-BE MONO 850 mg, comprimé sécable",potassium (bromure),, ,,, ,DIBROPHARM ARZNEIMITTEL
"DIMINEX 2 mg, comprimé sécable",mazindol,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire H.A.C.Pharma (tel. : 02 31 47 92 46).,H.A.C. PHARMA
"EDROPHONIUM INJECTION BP 10mg/1ml, solution injectable",édrophonium (chlorure),, ,,, ,CAMBRIDGE LABORATORIES LIMITED
"ENLON, solution injectable",édrophonium (chlorure),, ,,, ,BIONICHE PHARMA USA LLC
"EPANUTIN 30 mg/5 ml, suspension buvable",phénytoïne,, ,,, ,PFIZER PGM
"EPHEDRINE HYDROCHLORIDE  15 mg, comprimé",éphédrine (chlorhydrate),, ,,, ,WOCKHARDT UK LTD
"LABURIDE 200 mg, comprimé sécable",phénéturide,, ,,, ,KELA PHARMA NV
"LIORESAL 5mg/5ml, solution buvable",baclofène,, ,,, ,NOVARTIS PHARMACEUTICALS UK LTD
"MESTINON  60 mg/5 ml, sirop",pyridostigmine (bromure),, ,,, ,VALEANT PHARMACEUTICALS NORTH AMERICA
"MESTINON RETARD 180 mg, comprimé à libération prolongée",pyridostigmine (bromure),, ,,, ,MEDA PHARMA GMBH
"MNESIS 45 mg, comprimé",idébénone,, ,,, ,TAKEDA ITALIA FARMACEUTICAL
"NEOSTIGMINE BROMIDE 15 mg, comprimé",néostigmine (bromure),, ,,, ,CAMBRIDGE LABORATORIES LIMITED
"NEOTON 1 g, poudre et solvant pour solution injectable",créatine phosphate,, ,,, ,SEARLE FARMACEUTICI
"OSPOLOT 200 mg, comprimé sécable",sultiame,, ,,, ,DESITIN
"OSPOLOT 50 mg, comprimé",sultiame,, ,,, ,DESITIN
"PETINIMID 250 mg, gélule",éthosuximide,, ,,, ,ORION PHARMA AG
"PREFOLIC 15 mg, comprimé gastro-résistant",5 méthyl-tétrahydrofolate,, ,,, ,ZAMBON ITALIA SRL
"PROSTIGMIN 15 mg, comprimé",neostigmine bromide,, ,,, ,VALEANT PHARMACEUTICALS NORTH AMERICA
"SIRDALUD 4 mg, comprimé sécable",tizanidine,, ,,, ,NOVARTIS PHARMA SA
"SYMMETREL 50 mg/5 ml, sirop",amantadine hydrochloride,, ,,, ,ALLIANCE PHARMACEUTICALS
"TAFAMIDIS MÉGLUMINE 20 mg, capsule molle",tafamidis méglumine,,30/01/2012,,,Cette spécialité est désormais disponible selon son AMM obtenue en novembre 2011 sous la dénomination VYNDAQEL.,PFIZER
"TERONAC 1 mg, comprimé",mazindol,, ,,,Ce médicament est soumis à la réglementation des psychotropes.,ALKOPHARM (EX GENOPHARM)
"TRAZOLAN 100 mg, comprimé sécable",trazodone (chlorhydrate),, ,,, ,CONTINENTAL PHARMA INC.
"UBICOR 50 mg/10 ml, poudre et solvant pour suspension buvabie",ubidécarénone,, ,,, ,MAGIS FARMACEUTICI SPA
"UBITEN 10 mg, comprimé",ubidécarénone,, ,,, ,ITALFARMACO SPA
"UBITEN OU DECORENONE 50 mg, gélule",ubidécarénone,, ,,, ,ITALFARMACO SPA
"UBITEN OU DECORENONE 50 mg/10 ml, solution buvable",ubidécarénone,, ,,, ,ITALFARMACO SPA
"VIMPAT 10 mg/ml, sirop",lacosamide,,23/04/2012,,,Cette spécialité est désormais disponible selon son AMM obtenue en février 2012.,UCB PHARMA
"XENBILOX 250 mg, gélule",chénodésoxycholique (acide),, ,,, ,SIGMA-TAU ARZNEIMITTEL GMBH
"ALPHAGAN P 0,15 %, collyre en solution",brimonidine (tartrate),, ,,,"Cette spécialité ne contient pas le même conservateur que la spécialité disponible en France dans le cadre d'une AMM (ALPHAGAN 0,2%, collyre).",ALLERGAN FRANCE
"BROLENE 0,10%, collyre en solution",propamidine (iséthionate),, ,,, ,AVENTIS PHARMA LIMITED
"GS 101  0,86 mg/ml, collyre en solution",25mer phosphorothioate oligonucléotide,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible auprès du laboratoire CRID Pharma (04 99 58 38 67).,AMATSI
"NATACYN 5%, collyre en suspension",natamycine,, ,,, ,ALCON LABORATORIES INC.
"PREDFORTE 1 %, collyre en suspension",prednisolone (acétate),, ,,, ,ALLERGAN PHARMACEUTICALS IRELAND
"RESTASIS 0,05%, collyre en solution",ciclosporine,, ,,, ,ALLERGAN
"KALYDECO 150 mg, comprimé pelliculé",ivacaftor,,12/10/2012,,,Cette spécialité est désormais disponible selon son AMM obtenue en juillet 2012.,IDIS (POUR LE COMPTE DE VERTEX PHARMACEUTICALS)
"LEUKINE 250 µg/ml, poudre pour solution injectable",sargramostim,, ,,, ,BAYER HEALTHCARE PHARMACEUTICALS
"LEUKINE 500 µg/ml, solution injectable",sargramostim,, ,,, ,BAYER HEALTHCARE PHARMACEUTICALS
"NARDELZINE 15 mg, comprimé",phénelzine (sulfate),, ,,, ,PFIZER
"NARDIL 15 mg, comprimé",phénelzine,, ,,, ,PFIZER
"NORTRILEN 25 mg, comprimé",nortriptyline (chlorhydrate),, ,,, ,H. LUNDBECK A/S
"TRANYLCYPROMINE 10 mg, comprimé",tranylcypromine,, ,,, ,GOLDSHIELD PHARMACEUTICALS LTD
"ZELDOX 20 mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,, ,PFIZER
"ZELDOX 40  mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,, ,PFIZER
"ZELDOX 60 mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,, ,PFIZER
"18 FLT 222 MBq/mL, solution injectable",Fluoro-L-Thymidine,, ,,, ,ADVANCED ACCELARATOR APPLICATIONS
"68 GA/ 68GE 1,1 GBq, générateur radiopharmaceutique",68 Ga/ 68Ge,, ,,, ,IASON LABORMEDEZIN GESMBH.& CO.
"CHLORURE D'INDIUM 111 + PENTETREOTIDE 1220 Mbq/10 mcg, solution injectable",chlorure d'indium 111 + pentetreotide,, ,,, ,MALLINCKRODT MEDICAL  S.A.
"DOTA-TOC 50 microgramme, solution injectable",edotreotide,, ,,, ,IASON LABORMEDEZIN GESMBH.& CO.
"DESURIC 100 mg, comprimé sécable",benzbromarone,, ,,, ,PROSTRAKAN PHARMA BV
"KRYSTEXXA 8 mg, poudre pour solution injectable",pegloticase,, ,,, ,SAVIENT PHARMACEUTICALS INC
"MYOCRISIN  20 mg/ml, solution injectable",sodium aurothiomalate,, ,,, ,SANOFI AVENTIS
"MYOCRISIN 100 mg/ml, solution injectable",sodium aurothiomalate,, ,,, ,SANOFI AVENTIS
"ELMIRON 100 mg, gélule",pentosane (polysulfate),, ,,, ,JANSSEN-ORTHO INC
"MYOCHOLINE 10 mg, comprimé",béthanéchol (chlorure),, ,,, ,GLENWOOD GMBH
"MYOCHOLINE 25 mg, comprimé sécable",béthanéchol (chlorure),, ,,, ,GLENWOOD GMBH
"POTABA 3 g, poudre pour suspension buvable",potassium (paraaminobenzoate),, ,,, ,GLENWOOD GMBH
"POTABA 500 mg, gélule",potassium (paraaminobenzoate),, ,,, ,GLENWOOD LABORATORIES UK LTD
"RIMSO-50 50% p/p, solution pour administration intravésicale",diméthylsulfoxyde,, ,,, ,BIONICHE PHARMA GROUP LIMITED
"NERVIFENE 100 mg/ml, solution buvable",chloral (hydrate),, ,,, ,INTERDELTA SA
"CATAPRESS TTS 0,2 mg/24h, dispositif transdermique",clonidine (chlorhydrate),, ,,, ,LABORATOIRES BOEHRINGER INGELHEIM ITALIA SPA
"MARINOL 2,5 mg, capsule molle",dronabinol,, ,,,Ce médicament est soumis à la réglementation des stupéfiants.,ABBVIE INC
"NEURONTIN 250 mg/ 5ml, solution buvable",gabapentine,, ,,, ,PFIZER INC
"NOLOTIL 2 g/5 ml, solution injectable",métamizole magnésium,, ,,, ,BOEHRINGER INGELHEIM FRANCE
"ZOSTRIX 0,025%, crème",capsaïcine,, ,,, ,HEALTH CARE PRODUCTS
"ZOSTRIX HP 0,075%, crème",capsaïcine,, ,,, ,HEALTH CARE PRODUCTS
"ANTICHOLIUM 2 mg/5 ml, solution injectable",physostigmine (salicylate),, ,,, ,LABORATOIRE KOHLER CHEMIE
"LEGALON-SIL 350 mg, poudre pour solution injectable",silibinine,, ,,, ,LABORATOIRES ROTTAPHARMA
"ACIDE FOLIQUE 5 mg / 2 ml, solution injectable",acide folique,, ,,, ,"ENDOCYTE, EUROPE BV"
"BIB W 2992 40 mg, comprimé",afatinib,,28/04/2014,,,Cette spécialité est désormais disponible selon son AMM obtenue en septembre 2013 sous la dénomination GIOTRIF.,BOEHRINGER INGELHEIM FRANCE
"CÉRITINIB 150 mg, gélule",céritinib,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du  laboratoire NOVARTIS PHARMA (tel. : 01.55.47.68.15).,NOVARTIS PHARMA S.A.S.
"COBIMETINIB 20 mg, comprimé pelliculé",cobimetinib,, ,,, ,ROCHE
"CRIZOTINIB PFIZER NOURRISSONS ET ENFANTS 25 mg/ml, solution buvable",crizotinib,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'afssaps et auprès du laboratoire PFIZER (tél. : 01 58 07 30 00).,PFIZER
"EC-20 100 microgrammes, poudre pour solution injectable",etarfolatide,, ,,, ,"ENDOCYTE, EUROPE BV"
"HEXALEN 50 mg, gélule",altrétamine,, ,,,"Cette spécialité est mise à disposition le temps de la rupture de stock de la spécialité HEXASTAT 100 mg, gélule.",EISAI  INC
"NIVOLUMAB 10 mg/ml, solution pour perfusion",nivolumab,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire BRISTOL MYERS SQUIBB (tel : 05.49.06.54.55).,BRISTOL MYERS SQUIBB
"OLAPARIB 50 mg, gélule",olaparib,,09/03/2015,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire ASTRA ZENECA (tel : 01.41.29.43.65).,ASTRA ZENECA
"PALBOCICLIB 100 mg, capsule",palbociclib,, ,,, ,PFIZER
"PALBOCICLIB 125 mg, capsule",palbociclib,, ,,, ,PFIZER
"PALBOCICLIB 75 mg, capsule",palbociclib,, ,,, ,PFIZER
"PEMBROLIZUMAB 50 mg, poudre pour solution pour perfusion",pembrolizumab,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire MSD France (tél : 0800 450 500).,MERCK SHARP & DOHME - CHIBRET
"PN 401, granulés",uridine triacetate,, ,,,Ce médicament est aussi connu sous le nom de vistonuridine.,BTG INTERNATIONAL INC VIA CLINIGEN HEALTHCARE LTD
"RAMUCIRUMAB 10 mg/ml, solution pour perfusion",ramucirumab,,18/03/2015,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire Lilly France (tél : 0 800 086 147).,LILLY FRANCE SA
"VINTAFOLIDE 2,5 mg, poudre pour solution injectable",vintafolide,, ,,, ,"ENDOCYTE, EUROPE BV"
"ARGIPRESSIN  20 UI/ml, solution injectable",arginine vasopressine,, ,,, ,MERCURY PHARMACEUTICALS LTD
"CAPOTEN 5 mg/ml, solution buvable",captopril,, ,,, ,ASPEN PHARMA
"CUSTODIOL, solution pour perfusion",.,, ,,, ,LABORATOIRE KOHLER CHEMIE
"DEMSER 250 mg, comprimé",métyrosine,, ,,, ,ATON PHARMA
"DOPS OD 100 mg, comprimé orodispersible",droxidopa,, ,,, ,SUMITOMO PHARMACEUTICAL CO LTD
"L-DOPS 100 mg, gélule",droxidopa,, ,,, ,SUMITOMO PHARMACEUTICAL CO LTD
"L-DOPS 200 mg, gélule",droxidopa,, ,,, ,SUMITOMO PHARMACEUTICAL CO LTD
"MARCOUMAR 3 mg, comprimé sécable",phenprocoumone,, ,,, ,HOFFMANN-LA-ROCHE SA
"NIFEDIPINE RATIOPHARM 20 mg/ml, solution buvable en gouttes",nifédipine,, ,,, ,RATIOPHARM GMHB
"NOYADA 25 mg/5 ml, solution buvable",captopril,, ,,, ,MARTINDALE PHARMACEUTICALS LIMITED
"PHENTOLAMINE MESYLATE 5 mg, poudre pour solution injectable",phentolamine,, ,,, ,BEDFORD LABORATORIES
"PICIBANIL 1KE, poudre pour solution injectable",streptocoques pyogènes inactivés,, ,,, ,CHUGAI PHARMA FRANCE
"REGITINE 10 mg/ml, solution injectable",phentolamine,, ,,, ,NOVARTIS PHARMA SA
"SIMDAX, solution pour perfusion",levosimendan,, ,,, ,ORION PHARMA LTD
"SYPROL 10 mg/5 ml, solution buvable",propranolol,, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"SYPROL 5 mg/5 ml, solution buvable",propranolol,, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"SYPROL 50 mg/5 ml, solution buvable",propranolol,, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"WARFARIN SODIUM 1 mg/ml, suspension buvable",warfarine sodique,, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"ANTIVIPMYN TRI, solution injectable",Immunoglobulines équines,, ,,, ,INSTITUTO BIOCLON S.A. DE C.V.
"ATGAM 50 mg/ml, solution injectable",immunoglobuline équine anti-thymocytes humains,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire Pfizer (Tél : 01.58.07.30.00 ; email: Atu.Atgam@pfizer.com),PFIZER
"BOTHROFAV 10 ml, solution pour perfusion",fragments F(ab')2 d'immunoglobulines T antivenin d’origine équine,, ,,, ,AVENTIS PASTEUR S.A.
"BOTULISM ANTITOXIN BEHRING, solution pour perfusion","antitoxines botuliques de type A, B et E",, ,,, ,NOVARTIS VACCINES AND DIAGNOSTICS GMBH & CO. KG
"CYTOTECT CP BIOTEST 100 U/ml, solution pour perfusion",Immunoglobulines humaines anti-CMV,, ,,, ,BIOTEST PHARMA GMBH
"DIPHTHERIA ANTITOXIN BUTANTAN 1000UI/ml, solution injectable",Immunoglobulines équines anti-diphtériques,, ,,, ,INSTITUTO BUTANTAN
"EPICEL, feuillets de kératinocytes autologues sur support",keratinocytes autologues cultivés,, ,,, ,GENZYME BIOSURGERY
"FAV-AFRIQUE, solution injectable",Immunoglobulines d’origine équine,, ,,, ,SANOFI PASTEUR
"HAEMATE P 1000 IU, poudre et solvant pour solution injectable",1000 IU de FVIII / 2400 IU de VWF,, ,,, ,CSL BEHRING GMBH
"IMMUSEVEN 600 UI, poudre et solvant pour solution injectable",facteur VII de coagulation humain,, ,,, ,BAXTER SAS
"IVEGAM-CMV, solution injectable",Immunoglobulines humaines anti-CMV,, ,,, ,CAF-DCF
"OCTANATE 1000 UI/5 ml, poudre et solvant pour solution injectable",facteur VIII de coagulation humain,, ,,, ,OCTAPHARMA DESSAU
"VARITECT CP 25 UI/ml, solution injectable",immunoglobuline humaine VZV,, ,,, ,BIOTEST PHARMA GMBH
"BIOBAG, sachet",larves de Lucilia sericata,, ,,, ,BIOMONDE GMBH
